Township,Temperature,Precipitation,SynCanLR,SynCanLAS,SynCanRF,SynCanGBR,SynCanXGB,SynCanSVR
E1-01-019,26.01402539,80.29045455,41.26391881798008,41.28290010495123,50.10507665859996,49.82904141486991,50.86276,47.56220904196331
E1-01-020,25.82640161,80.82863636,41.94304511298139,41.96016451371406,47.76970249679998,48.538472829689205,48.483086,46.74293055746225
E1-01-021,25.95607929,81.29409091,41.453591274720914,41.472856071627874,50.62716400419998,49.82904141486991,51.16773,47.74626190826696
E1-01-022,26.16863343,81.70409091,40.65978797719784,40.68220746048092,53.37322509000001,50.087015999192715,51.103012,49.021685403380324
E1-01-023,26.29836343,81.95136364,40.175370257485675,40.199712126798346,52.69041549830004,50.23749090841723,50.077187,49.611823088920794
E1-01-024,26.34902683,80.84363636,40.015053760247994,40.03891171765575,49.3706986191,50.23749090841723,49.40804,49.22562712372957
E1-01-025,25.99283348,79.34272727,41.36479616392183,41.38253320907989,50.50890288119999,49.51049505324488,50.30061,46.93609874474694
E1-01-026,25.87541483,78.07681818,41.828218479158835,41.843147193563496,51.23381365439997,49.4697804558051,51.320473,45.58995156380434
E1-01-027,25.81499342,77.72727273,42.059452053897324,42.07324513340671,46.4526128551,47.441824213393005,48.024826,45.06900186717872
E1-01-028,25.71474353,77.72727273,42.42921010188792,42.44171354233134,46.966600427700016,46.990834482010094,47.223618,44.52975149033551
E1-02-001,26.56060362,83.42090909,39.172912954199916,39.20213494490496,45.268178251100025,45.62035242669589,43.59392,50.62426749970223
E1-02-002,26.51993695,83.32272727,39.325259512905205,39.35385770019467,44.224559849700015,47.61472737132223,45.00324,50.57293058239672
E1-02-003,26.39808244,83.17727273,39.778189317830446,39.805070816818635,48.580769893900005,50.23749090841723,49.62849,50.36427539806755
E1-02-004,26.27045569,82.86636364,40.25637463898097,40.281295567731554,52.72868331120003,50.496110543203365,52.201252,49.91285803878993
E1-02-005,26.17463565,83.40227273,40.596949828000255,40.621187526216296,52.856935837300014,50.087015999192715,51.331993,49.76547080437948
E1-02-006,26.22072503,84.01590909,40.41224860925426,40.437708321506136,52.942088972400036,50.88984392528635,52.066425,50.16347062287444
E1-02-007,26.12365565,84.52363636,40.75810724313377,40.78283876062105,50.42629975650005,50.2227747969529,50.983795,49.92942136241112
E1-02-008,26.01335194,84.21409091,41.172366211698574,41.19536140478881,51.754068886400034,50.2227747969529,51.979393,49.275910167886416
E1-02-009,26.06122787,83.41818182,41.01485767082879,41.03765277390116,51.96325019240001,49.82904141486991,50.927868,49.244706088908906
E1-02-010,26.51388906,82.64818182,39.3637329449561,39.391561776822805,44.138562542200006,47.61472737132223,45.53041,50.31909059933907
E1-02-011,26.40762886,81.91272727,39.773285605165384,39.79899348107897,49.3178676208,50.23749090841723,49.323982,49.8674952265827
E1-02-012,26.28540614,81.16227273,40.24207334350596,40.26543953950136,52.09675533710005,50.23749090841723,49.10394,49.19912914468852
E1-02-013,26.35917222,80.675,39.981675526356966,40.00549110806951,48.5264506793,50.23749090841723,49.40804,49.16577592743206
E1-02-014,26.2087169,79.95136364,40.55395261693998,40.57509082206502,51.779191527100004,50.17756418157833,50.41749,48.29144798288303
E1-02-015,26.07583587,79.11318182,41.06415460981628,41.08272408462638,50.66842849159997,49.51049505324488,50.457035,47.23159541126842
E1-02-016,25.99778836,78.53636364,41.365846623357726,41.38282071348166,51.52931737389998,49.4697804558051,50.985065,46.50686266301882
E1-02-017,25.88629166,78.52818182,41.77728308734069,41.792814468566476,50.41896231759997,49.4697804558051,51.21653,45.89977273741664
E1-02-018,25.8882718,78.70590909,41.76572007848354,41.78145914131777,50.40156181739997,49.4697804558051,51.21653,46.0086404222323
E1-02-019,25.86446992,79.18045455,41.84213678804847,41.85805616865173,49.48559179599997,49.51049505324488,50.21477,46.130539811343056
E1-02-020,25.84984533,79.71590909,41.88324452657989,41.899524728733994,47.50707696149999,48.21992646806417,48.13005,46.327278579361796
E1-02-021,25.90325784,80.34090909,41.67126059278171,41.68886866567466,48.46848296369997,49.82904141486991,51.287724,46.96459172920502
E1-02-022,26.00330879,80.84090909,41.2902529681456,41.309660728225296,51.90829739009999,49.82904141486991,51.030212,47.78789863078372
E1-02-023,26.05512002,81.05681818,41.093979687947765,41.114275313508294,51.59008219489997,49.82904141486991,50.909122,48.17117466572077
E1-02-024,26.17122736,80.10727273,40.68849104953043,40.70930682034376,51.15864764859999,50.087015999192715,51.20544,48.22319326793593
E1-02-025,25.90984841,78.79136364,41.68408963313913,41.70019387201143,50.33789880739999,49.4697804558051,51.176453,46.17621233286453
E1-02-026,25.83622984,77.81727273,41.9789674136326,41.993125952954834,46.87834800279998,47.441824213393005,48.008316,45.233153229837754
E1-03-001,26.62276822,86.64363636,38.86638923329823,38.89971491186328,44.509064299300015,45.5780036188898,42.424744,51.367598204977654
E1-03-002,26.4357113,86.98727273,39.54808735068477,39.57935898439832,46.26681460290002,49.36484143372235,46.17219,51.370730570731965
E1-03-003,26.30494865,87.10136364,40.02765317258664,40.05735961131268,50.13832101090006,50.6781654337963,48.111053,51.14838006969319
